Team,Games,Wins,Losses,Ties,WinPct,TotalGoals,GoalsPerGame,TotalAssists,AssistsPerGame,TotalPoints,PointsPerGame,GoalDiff,ShotAttempts,ShotsPerGame,ShotsOnGoal,ShotsOnGoalPerGame,ShotAccuracyPct,Corners,CornersPerGame,PKGoals,PKAttempts,PKPct,TotalFouls,FoulsPerGame,YellowCards,RedCards,TotalSaves,SavesPerGame,SavePct,TeamMinutes,GoalsAgainst,GAA,Shutouts,ShutoutPct
West Virginia,21,13,5,3,0.690,45,2.14,46,2.19,136,6.48,19,308,14.67,151,7.19,0.490,162,7.71,4,4,1.000,219,10.43,39,1,52,2.48,0.667,1933:22,26,1.210,8,0.381
Duke,20,10,4,6,0.650,38,1.90,43,2.15,119,5.95,22,360,18.00,135,6.75,0.375,149,7.45,4,6,0.667,268,13.40,37,2,44,2.20,0.733,1800:00,16,0.800,10,0.500
Stanford,20,14,4,2,0.750,37,1.85,28,1.40,102,5.10,20,382,19.10,144,7.20,0.377,147,7.35,1,1,1.000,256,12.80,31,0,42,2.10,0.712,1800:00,17,0.850,7,0.350
NC State,23,16,3,4,0.783,51,2.22,52,2.26,154,6.70,38,436,18.96,176,7.65,0.404,169,7.35,4,7,0.571,243,10.57,42,3,61,2.65,0.824,2071:54,13,0.565,15,0.652
La Salle,17,4,5,8,0.471,25,1.47,27,1.59,77,4.53,-1,238,14.00,105,6.18,0.441,124,7.29,2,4,0.500,206,12.12,43,3,73,4.29,0.737,1530:00,26,1.529,2,0.118
Akron,21,13,5,3,0.690,33,1.57,44,2.10,110,5.24,18,278,13.24,99,4.71,0.356,150,7.14,5,6,0.833,259,12.33,29,2,47,2.24,0.758,1890:00,15,0.714,13,0.619
Portland,20,14,2,4,0.800,43,2.15,55,2.75,141,7.05,31,266,13.30,125,6.25,0.470,139,6.95,1,3,0.333,239,11.95,34,1,47,2.35,0.797,1730:00,12,0.624,10,0.500
California Baptist,17,10,4,3,0.676,38,2.24,29,1.71,105,6.18,17,255,15.00,105,6.18,0.412,117,6.88,6,6,1.000,255,15.00,42,1,67,3.94,0.761,1532:30,21,1.233,4,0.235
Indiana,19,12,6,1,0.658,46,2.42,46,2.42,138,7.26,21,305,16.05,129,6.79,0.423,129,6.79,4,5,0.800,147,7.74,17,0,63,3.32,0.716,1710:00,25,1.316,5,0.263
Marquette,16,7,7,2,0.500,25,1.56,26,1.63,76,4.75,4,247,15.44,99,6.19,0.401,107,6.69,3,3,1.000,198,12.38,25,2,47,2.94,0.691,1440:00,21,1.313,4,0.250
Western Mich.,22,8,10,4,0.455,29,1.32,27,1.23,85,3.86,-3,281,12.77,118,5.36,0.420,147,6.68,1,2,0.500,270,12.27,39,1,76,3.45,0.704,2000:00,32,1.440,5,0.227
Delaware,17,12,2,3,0.794,48,2.82,49,2.88,145,8.53,37,256,15.06,124,7.29,0.484,112,6.59,1,1,1.000,166,9.76,18,1,58,3.41,0.841,1530:00,11,0.647,10,0.588
Washington,24,16,6,2,0.708,54,2.25,56,2.33,164,6.83,29,375,15.63,172,7.17,0.459,158,6.58,0,3,0.000,310,12.92,41,2,63,2.63,0.716,2175:21,25,1.034,9,0.375
Georgetown,22,14,4,4,0.727,52,2.36,53,2.41,157,7.14,34,343,15.59,163,7.41,0.475,143,6.50,5,5,1.000,266,12.09,27,2,58,2.64,0.763,1980:00,18,0.818,11,0.500
Dayton,18,8,2,8,0.667,31,1.72,29,1.61,91,5.06,16,272,15.11,112,6.22,0.412,117,6.50,2,3,0.667,187,10.39,28,2,64,3.56,0.810,1640:00,15,0.823,9,0.500
Vermont,20,14,1,5,0.825,41,2.05,49,2.45,131,6.55,26,269,13.45,113,5.65,0.420,129,6.45,1,1,1.000,273,13.65,34,0,55,2.75,0.786,1814:01,15,0.744,10,0.500
Virginia Tech,16,7,4,5,0.594,24,1.50,25,1.56,73,4.56,5,246,15.38,103,6.44,0.419,103,6.44,0,1,0.000,188,11.75,26,0,50,3.13,0.725,1440:00,19,1.188,7,0.438
Kansas City,21,12,4,5,0.690,34,1.62,39,1.86,107,5.10,14,244,11.62,95,4.52,0.389,132,6.29,3,3,1.000,240,11.43,31,1,61,2.90,0.753,1890:00,20,0.952,9,0.429
Charlotte,16,8,4,4,0.625,33,2.06,36,2.25,102,6.38,21,228,14.25,106,6.63,0.465,100,6.25,2,2,1.000,198,12.38,28,0,48,3.00,0.800,1460:00,12,0.740,7,0.438
Missouri St.,16,6,6,4,0.500,21,1.31,20,1.25,62,3.88,4,169,10.56,64,4.00,0.379,100,6.25,2,2,1.000,123,7.69,28,1,33,2.06,0.660,1440:00,17,1.063,5,0.313
DePaul,17,2,8,7,0.324,20,1.18,13,0.76,53,3.12,-14,258,15.18,89,5.24,0.345,106,6.24,4,5,0.800,261,15.35,39,1,52,3.06,0.605,1530:00,34,2.000,0,0.000
Clemson,17,8,6,3,0.559,37,2.18,35,2.06,109,6.41,14,275,16.18,102,6.00,0.371,106,6.24,2,2,1.000,214,12.59,32,2,38,2.24,0.623,1530:00,23,1.353,4,0.235
California,18,8,8,2,0.500,26,1.44,21,1.17,73,4.06,0,243,13.50,101,5.61,0.416,112,6.22,4,5,0.800,219,12.17,24,0,61,3.39,0.701,1620:00,26,1.444,6,0.333
Stetson,17,6,8,3,0.441,23,1.35,11,0.65,57,3.35,-1,193,11.35,72,4.24,0.373,105,6.18,0,1,0.000,224,13.18,38,2,59,3.47,0.711,1550:00,24,1.394,3,0.176
Utah Valley,15,8,4,3,0.633,31,2.07,31,2.07,93,6.20,14,237,15.80,91,6.07,0.384,92,6.13,4,5,0.800,194,12.93,38,3,42,2.80,0.712,1350:00,17,1.133,6,0.400
SMU,20,11,5,4,0.650,34,1.70,37,1.85,105,5.25,14,268,13.40,105,5.25,0.392,122,6.10,7,7,1.000,241,12.05,34,2,49,2.45,0.710,1800:00,20,1.000,7,0.350
Marshall,21,12,4,5,0.690,40,1.90,29,1.38,109,5.19,16,284,13.52,132,6.29,0.465,128,6.10,5,5,1.000,273,13.00,57,4,48,2.29,0.667,1909:24,24,1.131,7,0.333
Rutgers,17,8,6,3,0.559,28,1.65,24,1.41,80,4.71,0,218,12.82,88,5.18,0.404,103,6.06,1,3,0.333,168,9.88,24,0,61,3.59,0.685,1530:00,28,1.647,5,0.294
Penn St.,17,5,8,4,0.412,27,1.59,21,1.24,75,4.41,3,232,13.65,97,5.71,0.418,103,6.06,1,1,1.000,171,10.06,26,2,50,2.94,0.676,1530:00,24,1.412,4,0.235
UIC,18,10,3,5,0.694,39,2.17,44,2.44,122,6.78,14,336,18.67,148,8.22,0.440,109,6.06,1,4,0.250,210,11.67,32,1,58,3.22,0.699,1620:00,25,1.389,5,0.278
Kentucky,19,10,4,5,0.658,27,1.42,22,1.16,76,4.00,9,227,11.95,97,5.11,0.427,113,5.95,4,4,1.000,211,11.11,43,2,56,2.95,0.757,1743:50,18,0.929,8,0.421
Creighton,16,8,4,4,0.625,21,1.31,20,1.25,62,3.88,5,218,13.63,84,5.25,0.385,95,5.94,3,3,1.000,227,14.19,37,3,53,3.31,0.768,1440:00,16,1.000,7,0.438
Princeton,19,15,2,2,0.842,34,1.79,30,1.58,98,5.16,27,318,16.74,116,6.11,0.365,112,5.89,4,4,1.000,272,14.32,27,1,62,3.26,0.899,1710:00,7,0.368,13,0.684
Tulsa,18,5,9,4,0.389,15,0.83,18,1.00,48,2.67,-8,192,10.67,88,4.89,0.458,106,5.89,0,1,0.000,165,9.17,31,1,51,2.83,0.689,1620:29,23,1.277,7,0.389
Northwestern,17,8,6,3,0.559,22,1.29,30,1.76,74,4.35,2,236,13.88,99,5.82,0.419,100,5.88,1,1,1.000,161,9.47,25,2,52,3.06,0.722,1530:00,20,1.176,5,0.294
George Mason,16,7,6,3,0.531,32,2.00,32,2.00,96,6.00,2,222,13.88,82,5.13,0.369,94,5.88,3,3,1.000,149,9.31,41,2,71,4.44,0.703,1440:00,30,1.875,5,0.313
St. Bonaventure,15,3,9,3,0.300,23,1.53,21,1.40,67,4.47,-9,195,13.00,85,5.67,0.436,88,5.87,3,3,1.000,164,10.93,32,2,50,3.33,0.610,1350:00,32,2.133,4,0.267
NIU,17,8,5,4,0.588,30,1.76,30,1.76,90,5.29,11,275,16.18,112,6.59,0.407,99,5.82,1,3,0.333,247,14.53,30,2,61,3.59,0.763,1530:00,19,1.118,4,0.235
Bryant,22,17,2,3,0.841,44,2.00,42,1.91,130,5.91,30,266,12.09,125,5.68,0.470,128,5.82,2,2,1.000,197,8.95,35,1,51,2.32,0.785,2000:00,14,0.630,12,0.545
Massachusetts,17,6,5,6,0.529,27,1.59,21,1.24,75,4.41,6,228,13.41,107,6.29,0.469,98,5.76,1,2,0.500,195,11.47,22,2,64,3.76,0.753,1530:00,21,1.235,4,0.235
Cal St. Fullerton,20,8,6,6,0.550,32,1.60,25,1.25,89,4.45,1,344,17.20,119,5.95,0.346,115,5.75,4,4,1.000,232,11.60,43,5,84,4.20,0.730,1820:00,31,1.533,5,0.250
Virginia,19,12,2,5,0.763,33,1.74,48,2.53,114,6.00,14,281,14.79,107,5.63,0.381,109,5.74,1,3,0.333,230,12.11,44,1,50,2.63,0.725,1730:00,19,0.988,8,0.421
Duquesne,16,8,6,2,0.563,23,1.44,29,1.81,75,4.69,4,191,11.94,75,4.69,0.393,91,5.69,0,0,0.000,148,9.25,32,1,48,3.00,0.716,1440:00,19,1.188,6,0.375
UC Santa Barbara,20,7,5,8,0.550,21,1.05,22,1.10,64,3.20,1,296,14.80,105,5.25,0.355,113,5.65,0,0,0.000,291,14.55,48,5,80,4.00,0.800,1800:00,20,1.000,9,0.450
St. John's (NY),19,9,6,4,0.579,36,1.89,30,1.58,102,5.37,15,265,13.95,106,5.58,0.400,107,5.63,7,7,1.000,247,13.00,30,3,40,2.11,0.656,1713:58,21,1.103,6,0.316
Saint Louis,24,13,3,8,0.708,30,1.25,22,0.92,82,3.42,11,269,11.21,114,4.75,0.424,135,5.63,5,5,1.000,263,10.96,36,3,68,2.83,0.782,2213:50,19,0.772,11,0.458
Providence,16,6,7,3,0.469,23,1.44,21,1.31,67,4.19,2,207,12.94,91,5.69,0.440,90,5.63,1,1,1.000,184,11.50,30,0,43,2.69,0.672,1440:00,21,1.313,4,0.250
Cornell,20,14,4,2,0.750,42,2.10,38,1.90,122,6.10,28,402,20.10,166,8.30,0.413,112,5.60,1,4,0.250,223,11.15,25,0,40,2.00,0.741,1800:00,14,0.700,11,0.550
UMBC,17,6,6,5,0.500,20,1.18,21,1.24,61,3.59,3,187,11.00,80,4.71,0.428,95,5.59,2,2,1.000,176,10.35,25,0,54,3.18,0.761,1550:00,17,0.987,5,0.294
Ohio St.,16,6,10,0,0.375,17,1.06,21,1.31,55,3.44,-12,230,14.38,82,5.13,0.357,89,5.56,2,2,1.000,185,11.56,33,1,56,3.50,0.659,1440:00,29,1.813,3,0.188
Merrimack,16,4,9,3,0.344,22,1.38,20,1.25,64,4.00,-3,172,10.75,76,4.75,0.442,89,5.56,3,4,0.750,216,13.50,46,4,63,3.94,0.716,1440:00,25,1.563,3,0.188
CSUN,18,6,6,6,0.500,11,0.61,5,0.28,27,1.50,-2,207,11.50,71,3.94,0.343,100,5.56,3,3,1.000,229,12.72,51,3,82,4.56,0.863,1620:00,13,0.722,9,0.500
Sacred Heart,18,9,4,5,0.639,32,1.78,27,1.50,91,5.06,11,241,13.39,114,6.33,0.473,99,5.50,1,2,0.500,196,10.89,39,2,59,3.28,0.738,1625:42,21,1.163,5,0.278
UC Davis,19,4,9,6,0.368,20,1.05,18,0.95,58,3.05,-8,290,15.26,105,5.53,0.362,103,5.42,2,2,1.000,249,13.11,32,0,67,3.53,0.705,1730:00,28,1.457,3,0.158
Penn,17,8,5,4,0.588,29,1.71,30,1.76,88,5.18,17,260,15.29,116,6.82,0.446,92,5.41,3,3,1.000,120,7.06,12,0,60,3.53,0.833,1530:00,12,0.706,9,0.529
San Francisco,17,10,6,1,0.618,26,1.53,21,1.24,73,4.29,5,240,14.12,87,5.12,0.363,92,5.41,4,4,1.000,236,13.88,35,0,52,3.06,0.712,1530:00,21,1.235,8,0.471
Hofstra,20,14,5,1,0.725,40,2.00,46,2.30,126,6.30,20,274,13.70,121,6.05,0.442,108,5.40,6,7,0.857,293,14.65,37,2,43,2.15,0.683,1826:18,20,0.986,7,0.350
Iona,18,9,4,5,0.639,35,1.94,39,2.17,109,6.06,16,250,13.89,105,5.83,0.420,97,5.39,3,3,1.000,210,11.67,33,1,56,3.11,0.747,1628:55,19,1.050,6,0.333
LMU (CA),18,5,6,7,0.472,31,1.72,32,1.78,94,5.22,1,211,11.72,87,4.83,0.412,97,5.39,4,6,0.667,231,12.83,40,2,50,2.78,0.625,1620:00,30,1.667,2,0.111
Marist,16,8,4,4,0.625,27,1.69,27,1.69,81,5.06,4,275,17.19,119,7.44,0.433,86,5.38,0,0,0.000,179,11.19,39,1,49,3.06,0.681,1440:00,23,1.438,4,0.250
Maryland,19,13,2,4,0.789,45,2.37,60,3.16,150,7.89,27,305,16.05,125,6.58,0.410,102,5.37,4,6,0.667,182,9.58,28,1,62,3.26,0.775,1730:00,18,0.936,9,0.474
Stony Brook,19,9,5,5,0.605,32,1.68,39,2.05,103,5.42,10,246,12.95,109,5.74,0.443,101,5.32,3,5,0.600,244,12.84,37,1,63,3.32,0.741,1710:00,22,1.158,7,0.368
UNCW,16,5,9,2,0.375,21,1.31,21,1.31,63,3.94,-10,221,13.81,97,6.06,0.439,85,5.31,2,2,1.000,195,12.19,40,1,58,3.63,0.652,1440:00,31,1.938,3,0.188
Louisville,17,5,7,5,0.441,18,1.06,21,1.24,57,3.35,0,212,12.47,76,4.47,0.358,90,5.29,0,0,0.000,200,11.76,32,0,53,3.12,0.746,1530:00,18,1.059,7,0.412
Drexel,16,4,6,6,0.438,18,1.13,19,1.19,55,3.44,-5,168,10.50,69,4.31,0.411,84,5.25,0,0,0.000,216,13.50,38,1,49,3.06,0.681,1425:41,23,1.452,4,0.250
FDU,21,13,5,3,0.690,38,1.81,36,1.71,112,5.33,20,255,12.14,124,5.90,0.486,110,5.24,0,0,0.000,222,10.57,40,1,50,2.38,0.735,1893:25,18,0.856,8,0.381
Old Dominion,18,5,5,8,0.500,32,1.78,36,2.00,100,5.56,8,233,12.94,120,6.67,0.515,94,5.22,0,0,0.000,269,14.94,48,5,68,3.78,0.739,1640:00,24,1.317,5,0.278
Syracuse,20,9,8,3,0.525,24,1.20,20,1.00,68,3.40,1,260,13.00,102,5.10,0.392,104,5.20,2,4,0.500,285,14.25,34,1,77,3.85,0.770,1800:00,23,1.150,9,0.450
Pittsburgh,18,6,7,5,0.472,20,1.11,25,1.39,65,3.61,-3,191,10.61,71,3.94,0.372,93,5.17,1,2,0.500,191,10.61,31,2,56,3.11,0.709,1620:00,23,1.278,5,0.278
Green Bay,18,9,7,2,0.556,23,1.28,24,1.33,70,3.89,2,212,11.78,92,5.11,0.434,93,5.17,2,2,1.000,235,13.06,33,1,72,4.00,0.774,1640:00,21,1.152,7,0.389
USC Upstate,19,5,11,3,0.342,28,1.47,23,1.21,79,4.16,-10,237,12.47,87,4.58,0.367,98,5.16,2,2,1.000,253,13.32,51,0,76,4.00,0.667,1710:00,38,2.000,3,0.158
UNC Greensboro,23,12,5,6,0.652,45,1.96,39,1.70,129,5.61,20,319,13.87,135,5.87,0.423,118,5.13,3,3,1.000,214,9.30,29,1,64,2.78,0.719,2126:16,25,1.058,7,0.304
NJIT,17,3,9,5,0.324,8,0.47,9,0.53,25,1.47,-13,215,12.65,78,4.59,0.363,87,5.12,0,0,0.000,210,12.35,42,2,73,4.29,0.777,1530:00,21,1.235,5,0.294
San Diego St.,18,7,9,2,0.444,20,1.11,19,1.06,59,3.28,-4,222,12.33,79,4.39,0.356,92,5.11,2,3,0.667,238,13.22,47,4,63,3.50,0.724,1620:00,24,1.333,5,0.278
Fla. Atlantic,18,12,4,2,0.722,36,2.00,42,2.33,114,6.33,14,220,12.22,87,4.83,0.395,92,5.11,3,3,1.000,215,11.94,33,2,46,2.56,0.676,1620:00,22,1.222,8,0.444
UCF,21,11,7,3,0.595,40,1.90,44,2.10,124,5.90,13,286,13.62,120,5.71,0.420,107,5.10,1,2,0.500,186,8.86,23,0,61,2.90,0.693,1903:06,27,1.277,5,0.238
Oregon St.,17,10,5,2,0.647,41,2.41,60,3.53,142,8.35,14,249,14.65,108,6.35,0.434,86,5.06,4,5,0.800,175,10.29,36,0,43,2.53,0.614,1543:27,27,1.574,4,0.235
Wake Forest,17,7,4,6,0.588,39,2.29,34,2.00,112,6.59,12,238,14.00,90,5.29,0.378,86,5.06,6,6,1.000,211,12.41,28,1,61,3.59,0.693,1530:00,27,1.588,6,0.353
Siena,19,9,5,5,0.605,31,1.63,34,1.79,96,5.05,3,212,11.16,97,5.11,0.458,96,5.05,0,1,0.000,195,10.26,21,0,76,4.00,0.731,1738:55,28,1.449,5,0.263
Michigan,20,12,4,4,0.700,36,1.80,38,1.90,110,5.50,17,274,13.70,104,5.20,0.380,101,5.05,9,10,0.900,227,11.35,49,6,57,2.85,0.750,1800:00,19,0.950,9,0.450
North Carolina,20,9,5,6,0.600,31,1.55,37,1.85,99,4.95,14,278,13.90,102,5.10,0.367,100,5.00,2,2,1.000,237,11.85,26,1,47,2.35,0.734,1840:00,17,0.832,8,0.400
UCLA,19,8,6,5,0.553,32,1.68,46,2.42,110,5.79,11,199,10.47,83,4.37,0.417,95,5.00,1,1,1.000,216,11.37,20,0,50,2.63,0.704,1730:00,21,1.092,8,0.421
Seton Hall,19,7,4,8,0.579,30,1.58,29,1.53,89,4.68,14,199,10.47,89,4.68,0.447,95,5.00,3,4,0.750,201,10.58,33,2,54,2.84,0.771,1730:00,16,0.832,8,0.421
High Point,20,14,2,4,0.800,49,2.45,47,2.35,145,7.25,34,292,14.60,130,6.50,0.445,98,4.90,2,2,1.000,227,11.35,22,0,67,3.35,0.817,1800:00,15,0.750,10,0.500
Gardner-Webb,18,13,3,2,0.778,34,1.89,34,1.89,102,5.67,19,293,16.28,123,6.83,0.420,88,4.89,1,3,0.333,228,12.67,48,1,46,2.56,0.754,1620:00,15,0.833,10,0.556
Boston College,17,7,9,1,0.441,31,1.82,28,1.65,90,5.29,8,240,14.12,96,5.65,0.400,83,4.88,2,2,1.000,206,12.12,37,2,65,3.82,0.739,1530:00,23,1.353,6,0.353
Harvard,17,6,6,5,0.500,23,1.35,26,1.53,72,4.24,2,202,11.88,72,4.24,0.356,83,4.88,0,1,0.000,185,10.88,35,2,61,3.59,0.744,1530:00,21,1.235,5,0.294
Wisconsin,16,8,8,0,0.500,22,1.38,28,1.75,72,4.50,0,155,9.69,60,3.75,0.387,78,4.88,2,2,1.000,180,11.25,25,1,49,3.06,0.690,1350:00,22,1.467,6,0.375
Ga. Southern,18,13,4,1,0.750,27,1.50,24,1.33,78,4.33,11,211,11.72,91,5.06,0.431,87,4.83,3,6,0.500,213,11.83,28,2,55,3.06,0.775,1633:06,16,0.882,8,0.444
Grand Canyon,23,14,4,5,0.717,43,1.87,42,1.83,128,5.57,26,327,14.22,127,5.52,0.388,111,4.83,4,4,1.000,271,11.78,48,1,81,3.52,0.827,2090:00,17,0.732,8,0.348
Furman,23,16,2,5,0.804,51,2.22,57,2.48,159,6.91,29,311,13.52,131,5.70,0.421,111,4.83,3,3,1.000,290,12.61,46,1,81,3.52,0.786,2106:16,22,0.940,10,0.435
UNC Asheville,16,7,7,2,0.500,21,1.31,20,1.25,62,3.88,-3,143,8.94,67,4.19,0.469,77,4.81,2,3,0.667,175,10.94,24,0,37,2.31,0.607,1440:00,24,1.500,4,0.250
Niagara,16,8,7,1,0.531,23,1.44,21,1.31,67,4.19,-4,183,11.44,86,5.38,0.470,77,4.81,2,3,0.667,151,9.44,29,4,81,5.06,0.750,1440:00,27,1.688,4,0.250
Liberty,20,9,5,6,0.600,36,1.80,39,1.95,111,5.55,12,287,14.35,136,6.80,0.474,96,4.80,1,2,0.500,174,8.70,27,1,59,2.95,0.711,1800:00,24,1.200,6,0.300
Cal Poly,20,9,6,5,0.575,30,1.50,25,1.25,85,4.25,15,225,11.25,88,4.40,0.391,96,4.80,4,5,0.800,231,11.55,32,0,59,2.95,0.797,1800:00,15,0.750,10,0.500
Davidson,19,9,7,3,0.553,25,1.32,25,1.32,75,3.95,2,221,11.63,97,5.11,0.439,90,4.74,1,2,0.500,234,12.32,45,2,55,2.89,0.705,1710:00,23,1.211,7,0.368
Houston Christian,19,11,5,3,0.658,28,1.47,30,1.58,86,4.53,13,266,14.00,120,6.32,0.451,90,4.74,4,4,1.000,219,11.53,38,0,77,4.05,0.837,1730:00,15,0.780,9,0.474
North Florida,19,12,5,2,0.684,38,2.00,51,2.68,127,6.68,18,253,13.32,108,5.68,0.427,90,4.74,0,1,0.000,246,12.95,34,2,66,3.47,0.767,1751:16,20,1.028,9,0.474
South Carolina,18,7,9,2,0.444,26,1.44,23,1.28,75,4.17,-8,216,12.00,81,4.50,0.375,85,4.72,1,1,1.000,182,10.11,35,0,54,3.00,0.614,1620:00,34,1.889,2,0.111
Oral Roberts,17,4,10,3,0.324,14,0.82,11,0.65,39,2.29,-12,144,8.47,58,3.41,0.403,80,4.71,2,2,1.000,172,10.12,33,1,69,4.06,0.726,1530:00,26,1.529,4,0.235
Northern Ky.,17,4,10,3,0.324,14,0.82,7,0.41,35,2.06,-8,202,11.88,77,4.53,0.381,80,4.71,4,4,1.000,214,12.59,48,3,54,3.18,0.711,1530:00,22,1.294,2,0.118
Saint Mary's (CA),16,2,8,6,0.313,15,0.94,12,0.75,42,2.63,-9,172,10.75,55,3.44,0.320,75,4.69,3,3,1.000,201,12.56,31,3,62,3.88,0.721,1440:00,24,1.500,1,0.063
Denver,22,12,7,3,0.614,38,1.73,43,1.95,119,5.41,10,251,11.41,109,4.95,0.434,103,4.68,5,7,0.714,218,9.91,27,1,56,2.55,0.667,2000:00,28,1.260,6,0.273
